,name,artist,id,genre,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
78,Ride In The Middle,Logan Mize,42nok7wlzoyP7AQtuLNjNF,contemporary country,2009-11-04,25,0.604,0.876,7,-3.961,1,0.038,0.00209,0.0033,0.208,0.443,130.001,244036,4
79,Vete Acostumbrando,Larry Hernández,1Fkih6pM94UmwZfRg1fEab,banda,2015-05-26,0,0.703,0.772,7,-5.21,1,0.245,0.431,0.0,0.0873,0.953,113.723,135040,4
80,Intro,alt-J,3Hbd6gPZ0QErPWXVkC6GRt,indie rock,2012-09-18,47,0.583,0.8,11,-8.505,0,0.0349,0.444,0.843,0.201,0.253,144.024,157813,4
81,It Grows,Me Succeeds,4rmYSLe0Qs067qiqgjHlCU,german electronica,2016-05-20,0,0.77,0.451,5,-10.324,1,0.0719,0.48,0.0897,0.113,0.113,79.966,326000,4
82,Where Are Ü Now (with Justin Bieber),Jack Ü,66hayvUbTotekKU3H4ta1f,edm,2015-02-24,74,0.432,0.781,4,-4.038,0,0.0567,0.041,4.21e-06,0.0789,0.197,139.432,250286,4
83,Port Royal Gallop,Thomas Newman,6Tm4ewn89KaY1ATUDe1WGi,soundtrack,1995-01-10,28,0.688,0.284,10,-16.631,1,0.054,0.977,0.864,0.0814,0.961,146.978,54467,4
84,Scary Monsters and Nice Sprites - Dirtyphonics Remix,Skrillex,0QQwlREWKKxRUPPbpaKZJS,brostep,2011-06-07,40,0.422,0.827,7,-5.759,0,0.197,0.000859,0.00231,0.179,0.408,175.071,291080,4
85,Da Gun (ft. Cash Out & Waka Flocka),Gucci Mane,2Y7hcw1GdYX1F7lUSdbT2M,atl hip hop,2015-12-11,0,0.664,0.726,9,-4.552,1,0.221,0.0827,0.0,0.0683,0.528,148.106,260206,4
86,Obsessions,MARINA,0X3VdkebZGTuL9sMOMoyHy,dance pop,2010-02-15,47,0.721,0.616,9,-6.795,0,0.0343,0.677,0.00124,0.0841,0.521,104.955,208133,4
87,"Tag, You're It",Melanie Martinez,3u1FiuSpfsgVnekEMXgMwJ,alt z,2015-08-14,71,0.559,0.835,5,-5.555,0,0.0424,0.24,0.019,0.185,0.382,114.908,189027,4
88,Can't Help Falling in Love,Elvis Presley,44AyOl4qVkzS48vBsbNXaC,rock-and-roll,1961-10-20,77,0.396,0.293,2,-14.062,1,0.0275,0.941,0.000196,0.105,0.343,100.307,182360,3
89,You Don't Have To Go,Christian Collins,2Dvu4aiuRmOXgZqjwsMODJ,teen pop,2015-12-12,22,0.595,0.708,6,-8.493,0,0.294,0.137,0.00324,0.394,0.39,124.897,241862,4
90,Mira oye,Los Tigrillos,7hZxeDEidGxPfg8ZAAKOOY,corrido,2001-03-05,57,0.854,0.741,0,-5.19,1,0.0503,0.101,1.28e-05,0.0671,0.873,104.119,202253,4
91,Thank The Lord For The Night Time,Neil Diamond,3iy2e6iFfdlAkFdnvH7nmz,adult standards,1968,0,0.342,0.899,9,-3.752,1,0.169,0.00989,0.000329,0.0503,0.847,184.724,181840,4
92,Fire Alarm,Castlecomer,7owfaYY6CFwqQAv2Xih9CY,indie poptimism,2015-08-28,0,0.499,0.938,6,-3.806,0,0.0606,0.000148,0.0204,0.302,0.479,145.047,237107,4
93,Run Run Rudolph,Kelly Clarkson,4bcH4Qux77P70oawdihgIa,dance pop,2013-10-25,45,0.572,0.895,5,-2.654,1,0.0644,0.0134,0.0,0.216,0.922,145.008,147987,4
94,Wild Weekend,Luke Bryan,23uNWyl5lh5PxWJpWNikHR,contemporary country,2013-01-01,33,0.561,0.913,5,-5.256,1,0.0539,0.173,1.69e-05,0.204,0.928,163.964,241733,4
95,Mujeres Divinas,Banda El Recodo,1ROAzHSDhhzK3KW0YMdNlh,banda,2002-01-01,23,0.411,0.515,7,-4.546,0,0.0443,0.717,0.0,0.053,0.822,163.188,168360,3
96,Only,Nicki Minaj,1UZ25gykR30Oewh3dBRtVZ,dance pop,2014-12-15,64,0.573,0.495,8,-7.245,0,0.592,0.405,0.0,0.0969,0.255,179.196,312027,3
97,Rainy Girl,Andrew McMahon in the Wilderness,33lJ4S0yVWG0uJJyWcDwKY,hopebeat,2014-10-13,0,0.407,0.316,8,-9.054,1,0.0306,0.766,0.0,0.098,0.443,84.681,179393,4
98,Tremor - Sensation 2014 Anthem,Dimitri Vegas & Like Mike,0TFpP51bxLJfon3qgmzMH6,belgian dance,2014-01-01,38,0.63,0.943,6,-4.185,0,0.0365,0.000328,0.726,0.938,0.409,127.976,294375,4
99,What These Bitches Want,DMX,14I6tuKz8SGD8U3SxzAqwH,east coast hip hop,1999-01-01,0,0.673,0.831,1,-5.876,1,0.31,0.124,0.0,0.198,0.717,167.486,253040,4
100,Nobody Has to Know (feat. Ty Dolla $ign) - Major Lazer and KickRaux Remix,Kranium,3eEQNLhV6KLOcVz4BrbH9l,basshall,2015-10-16,42,0.681,0.79,4,-5.654,0,0.161,0.0469,0.0,0.381,0.627,102.995,205893,4
